Contour_ID,X,Y
0,228,155
0,227,156
0,226,156
0,226,158
0,235,158
0,235,156
0,234,156
0,233,155
1,245,148
1,244,149
1,242,149
1,241,150
1,239,150
1,239,157
1,240,158
1,261,158
1,261,155
1,259,153
1,259,152
1,258,152
1,256,150
1,255,150
1,254,149
1,250,149
1,249,148
2,200,144
2,199,145
2,197,145
2,195,147
2,195,148
2,194,149
2,194,151
2,193,152
2,193,156
2,194,157
2,194,158
2,212,158
2,214,156
2,214,152
2,212,150
2,212,149
2,210,147
2,210,146
2,209,145
2,208,145
2,207,144
3,291,139
3,290,140
3,288,140
3,288,142
3,287,143
3,286,143
3,286,151
3,287,152
3,288,152
3,289,153
3,289,154
3,290,154
3,291,155
3,296,155
3,297,154
3,300,154
3,301,153
3,301,152
3,303,150
3,303,144
3,302,143
3,302,141
3,301,140
3,300,140
3,299,139
4,30,138
4,29,139
4,27,139
4,27,140
4,24,143
4,24,147
4,23,148
4,22,148
4,20,146
4,20,145
4,18,145
4,17,144
4,11,144
4,9,146
4,8,146
4,8,147
4,7,148
4,6,148
4,6,155
4,7,156
4,7,158
4,23,158
4,23,156
4,24,155
4,27,155
4,28,156
4,28,157
4,37,157
4,39,155
4,40,155
4,41,154
4,41,153
4,42,152
4,42,150
4,43,149
4,43,144
4,40,141
4,40,140
4,39,139
4,38,139
4,37,138
5,124,135
5,123,136
5,122,136
5,121,137
5,120,137
5,118,139
5,118,140
5,117,141
5,117,150
5,118,151
5,118,153
5,120,155
5,120,156
5,129,156
5,130,155
5,131,155
5,134,152
5,134,150
5,135,149
5,135,140
5,131,136
5,130,136
5,129,135
6,51,132
6,50,133
6,48,133
6,46,135
6,46,146
6,47,147
6,47,148
6,48,149
6,48,151
6,50,151
6,51,152
6,57,152
6,58,151
6,59,151
6,60,150
6,61,150
6,61,149
6,64,146
6,64,140
6,63,139
6,63,138
6,62,137
6,62,136
6,60,134
6,59,134
6,58,133
6,56,133
6,55,132
7,230,125
7,228,127
7,226,127
7,226,128
7,224,130
7,224,132
7,223,133
7,223,139
7,224,140
7,224,141
7,225,142
7,225,143
7,226,143
7,227,144
7,228,144
7,229,145
7,234,145
7,235,144
7,238,144
7,239,143
7,242,143
7,242,141
7,244,139
7,244,132
7,243,131
7,243,129
7,242,128
7,240,128
7,239,127
7,239,126
7,235,126
7,234,125
8,192,125
8,187,130
8,187,136
8,188,137
8,188,139
8,190,141
8,192,141
8,193,142
8,199,142
8,200,141
8,204,141
8,207,138
8,207,131
8,206,130
8,206,129
8,203,126
8,201,126
8,200,125
9,102,125
9,100,127
9,99,127
9,98,128
